distance_mm,x_mm,y_mm
0.0,200.0,150.0
5.0,205.0,150.0
10.0,210.0,150.0
15.0,215.0,150.0
20.0,220.0,150.0
25.0,225.0,150.0
30.0,230.0,150.0
35.0,235.0,150.0
40.0,240.0,150.0
45.0,245.0,150.0
50.0,250.0,150.0
55.0,255.0,150.0
60.0,260.0,150.0
65.0,265.0,150.0
70.0,270.0,150.0
75.0,275.0,150.0
80.1,280.1,150.0
85.1,285.1,150.0
90.1,290.1,150.0
95.1,295.1,150.0
100.1,300.1,150.0
105.1,305.1,150.0
110.1,310.1,150.0
115.1,315.1,150.0
120.1,320.1,150.0
125.1,325.1,150.0
130.1,330.1,150.0
135.1,335.1,150.0
140.1,340.1,150.0
145.1,345.1,150.0
150.1,350.1,150.0
155.1,355.1,150.0
160.1,360.1,150.0
165.1,365.1,150.0
170.1,370.1,150.0
175.1,375.1,150.0
180.1,380.1,150.0
185.1,385.1,150.0
190.1,390.1,150.0
195.1,395.1,150.0
200.1,400.1,150.0
205.1,405.1,150.0
210.1,410.1,150.0
215.1,415.1,150.0
220.1,420.1,150.0
225.1,425.1,150.0
230.2,430.2,150.0
235.2,435.2,150.0
240.2,440.2,150.0
245.2,445.2,150.0
250.2,450.2,150.0
255.2,455.2,150.0
260.2,460.2,150.0
265.2,465.2,150.0
270.2,470.2,150.0
275.2,475.2,150.0
280.2,480.2,150.0
285.2,485.2,150.0
290.2,490.2,150.0
295.2,495.2,150.0
300.2,500.2,150.0
305.2,505.2,150.0
310.2,510.2,150.0
315.2,515.2,150.0
320.2,520.2,150.0
325.2,525.2,150.0
330.2,530.2,150.0
335.2,535.2,150.0
340.2,540.2,150.0
345.2,545.2,150.0
350.2,550.2,150.0
355.2,555.2,150.0
360.2,560.2,150.0
365.2,565.2,150.0
370.2,570.2,150.0
375.2,575.2,150.0
380.3,580.3,150.0
385.3,585.3,150.0
390.3,590.3,150.0
395.3,595.3,150.0
400.3,600.3,150.0
405.3,605.3,150.0
410.3,610.3,150.0
415.3,615.3,150.0
420.3,620.3,150.0
425.3,625.3,150.0
430.3,630.3,150.0
435.3,635.3,150.0
440.3,640.3,150.0
445.3,645.3,150.0
450.3,650.3,150.0
455.3,655.3,150.0
460.3,660.3,150.0
465.3,665.3,150.0
470.3,670.3,150.0
475.3,675.3,150.0
480.3,680.3,150.0
485.3,685.3,150.0
490.3,690.3,150.0
495.3,695.3,150.0
500.3,700.3,150.0
505.3,705.3,150.0
510.3,710.3,150.0
515.3,715.3,150.0
520.3,720.3,150.0
525.3,725.3,150.0
530.4,730.4,150.0
535.4,735.4,150.0
540.4,740.4,150.0
545.4,745.4,150.0
550.4,750.4,150.0
555.4,755.4,150.0
560.4,760.4,150.0
565.4,765.4,150.0
570.4,770.4,150.0
575.4,775.4,150.0
580.4,780.4,150.0
585.4,785.4,150.0
590.4,790.4,150.0
595.4,795.4,150.0
600.4,800.4,150.0
605.4,805.4,150.0
610.4,810.4,150.0
615.4,815.4,150.0
620.4,820.4,150.0
625.4,825.4,150.0
630.4,830.4,150.0
635.4,835.4,150.0
640.4,840.4,150.0
645.4,845.4,150.0
650.4,850.4,150.0
655.4,855.4,150.0
660.4,860.4,150.0
